Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Ordered List,Delete
FALSE,Residential-Heating-Components,Heating-and-Air-Conditioning,Residential Heating Components,residential-heating-components,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Residential-Scroll-Compressors,Heating-and-Air-Conditioning,Residential Scroll Compressors,,,,Category | EMR Refrigerant Type | EMR Capacity Range | EMR Hertz | EMR Voltage | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Residential-Service-Kits,Heating-and-Air-Conditioning,Residential Service Kits,residential-service-kits,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Residential-Wet-Dry-Vacs,Vacuum-Equipment,Residential Wet/Dry Vacs,residential-wet-dry-vacs,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Roof-and-Gutter-De-icing,Indoor-Outdoor-Heating-Cables,Roof and Gutter De-icing,roof-and-gutter-de-icing,,,,
FALSE,SCADA-Systems,Control-Safety-Systems,SCADA Systems,,Products - SCADA Systems | Emerson,Browse SCADA Systems products,Category | Brand | EMR Industry,
FALSE,Safety-Instrumented-Systems,Control-Safety-Systems,Safety Instrumented Systems,,Products - Safety Instrumented Systems | Emerson,Browse Safety Instrumented Systems products,Category | Brand | EMR Industry,
FALSE,Sealants-Firestop-Solutions,Electrical-Components-Lighting,Sealants and Firestop Solutions,sealants-firestop-solutions,Products - Sealants and Firestop Solutions|Emerson,Browse Sealants and Firestop Solutions products,Category | EMR Area Classification | EMR Certifications | EMR Product Type,
FALSE,Sensing-Solutions,Sensing-and-Protection-Devices,Sensing Solutions,sensing-solutions,,,,
FALSE,Sensors,Controls-and-Monitoring-Systems,Sensors,sensors,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Snow-Melting,Indoor-Outdoor-Heating-Cables,Snow Melting,snow-melting,,,,
FALSE,Solenoid-Valves,Valves-Actuators-Regulators,Solenoid Valves,,Products - Solenoid Valves | Emerson,Browse Solenoid Valves products,Category | EMR Actuation | EMR Function | EMR Material | EMR Media | EMR Pipe Port Size | EMR Port Type | EMR Voltage | EMR Frequency | EMR Operating Environment | EMR Standards | EMR Application | Brand | EMR Industry,
FALSE,Solenoids-Pneumatics-Accessories,Solenoids-Pneumatics,Solenoids and Pneumatics Accessories,solenoids-pneumatics-accessories,Products - Solenoids and Pneumatics Accessories | Emerson,Browse Solenoids and Pneumatics Accessories products,Category | EMR Pipe Port Size | EMR Operating Environment | EMR Standards | EMR Application | Brand | EMR Industry,
FALSE,Sonifier-Ultrasonic-Cell-Disruptors,Cleaning-Systems-and-Cell-Disruptors,Sonifier Ultrasonic Cell Disruptors,sonifier-ultrasonic-cell-disruptors,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Spin-Welding,Precision-Welding-Cleaning,Spin Welding,,Products - Spin Welding|Emerson,Browse Spin Welding products,Category | Brand | EMR Industry | EMR Segment,
FALSE,Tank-Gauging,Measurement-Instrumentation,Tank Gauging,,Products - Tank Gauging | Emerson,Browse Tank Gauging products,Category | Brand | EMR Industry | EMR Product Type,
FALSE,Tank-Vents-Hatches,Valves-Actuators-Regulators,Tank Vents and Hatches,,Products - Tank Vents and Hatches | Emerson,Browse Tank Vents and Hatches products,Category | Brand | EMR Product Type | EMR Industry,
FALSE,Temperature,Measurement-Instrumentation,Temperature,,Products - Temperature | Emerson,Browse Temperature products,Category | Brand | EMR Industry | EMR Product Type | EMR Measurement Type | EMR Sensor Type | EMR Mounting Type | EMR Communication Protocol | EMR Process Connection Type | EMR Connection Style,
FALSE,Thermal-Processing,Precision-Welding-Cleaning,Thermal Processing,,Products - Thermal Processing|Emerson,Browse Thermal Processing products,Category | Brand | EMR Industry | EMR Segment,
FALSE,Thermal-Storage,Indoor-Outdoor-Heating-Cables,Thermal Storage,thermal-storage,,,,
FALSE,Ultrasonic-Cleaning,Precision-Welding-Cleaning,Ultrasonic Cleaning,,Products - Ultrasonic Cleaning|Emerson,Browse Ultrasonic Cleaning products,Category | Brand | EMR Industry | EMR Segment | EMR Cleaning Process,
FALSE,Ultrasonic-Metal-Welding,Precision-Welding-Cleaning,Ultrasonic Metal Welding,,Products - Ultrasonic Metal Welding|Emerson,Browse Ultrasonic Metal Welding products,Category | Brand | EMR Industry | EMR Segment,
